classified.price,classified.building.constructionYear,classified.building.condition,classified.certificates.primaryEnergyConsumptionLevel,classified.bedroom.count,classified.land.surface,classified.outdoor.garden.surface
695000.0,1929.0,5.0,485.0,4,115.0,0.0
2800000.0,1986.0,5.0,140.0,11,1900.0,0.0
2800000.0,1986.0,5.0,150.0,10,1988.0,1500.0
450000.0,1957.0,7.0,610.0,6,484.0,0.0
379000.0,1991.0,7.0,288.0,2,496.0,50.0
385000.0,1969.0,3.0,565.0,2,719.0,0.0
495000.0,1989.0,5.0,249.0,5,1184.0,1000.0
495000.0,1967.0,5.0,296.0,4,837.0,493.0
250000.0,1965.0,1.0,536.0,2,918.0,0.0
329000.0,1973.0,5.0,781.0,2,862.0,0.0
405000.0,1986.0,5.0,234.0,3,0.0,0.0
799000.0,1966.0,6.0,341.0,5,5000.0,3000.0
445000.0,1964.0,3.0,344.0,3,1014.0,0.0
599000.0,1971.0,1.0,457.0,3,1373.0,1000.0
289000.0,1970.0,5.0,547.0,2,763.0,0.0
229000.0,1963.0,7.0,850.0,2,930.0,800.0
299000.0,1980.0,5.0,363.0,3,992.0,0.0
585000.0,1971.0,7.0,323.0,6,795.0,500.0
549000.0,1977.0,1.0,225.0,3,840.0,0.0
115000.0,1964.0,3.0,621.0,2,834.0,0.0
50000.0,1973.0,5.0,565.0,2,927.0,0.0
349000.0,1974.0,5.0,794.0,3,403.0,0.0
365000.0,1973.0,1.0,374.0,2,467.0,150.0
259000.0,1994.0,5.0,653.0,3,1195.0,1071.0
289000.0,1994.0,7.0,411.0,2,1281.0,1172.0
219000.0,1975.0,1.0,868.0,3,1650.0,950.0
395000.0,1964.0,7.0,699.0,4,795.0,495.0
365000.0,1970.0,5.0,441.0,3,752.0,0.0
395000.0,1975.0,1.0,529.0,3,697.0,0.0
349000.0,1980.0,7.0,199.0,3,1674.0,850.0
335000.0,1965.0,1.0,319.0,3,1650.0,0.0
369000.0,1978.0,5.0,490.0,3,1063.0,10300.0
170000.0,1974.0,3.0,1413.0,2,725.0,387.0
260000.0,1984.0,5.0,287.0,3,1016.0,871.0
390000.0,1984.0,3.0,321.0,2,548.0,548.0
45000.0,1989.0,5.0,740.0,2,159.0,70.0
165000.0,1972.0,1.0,437.0,3,292.0,0.0
5500000.0,1910.0,7.0,283.0,14,206200.0,203900.0
5500000.0,1911.0,5.0,283.0,14,206263.0,0.0
9500000.0,1909.0,7.0,402.0,12,500000.0,0.0
1275000.0,1910.0,1.0,561.0,11,15000.0,0.0
130000.0,2008.0,5.0,395.0,2,599.0,599.0
189000.0,2005.0,5.0,1396.0,2,4800.0,1000.0
110000.0,1979.0,3.0,1029.0,2,892.0,0.0
70000.0,1995.0,5.0,540.0,2,234.0,0.0
495000.0,1900.0,5.0,315.0,6,2847.0,0.0
280000.0,1850.0,7.0,330.0,3,557.0,265.0
535000.0,1910.0,5.0,194.0,3,750.0,0.0
495000.0,1920.0,5.0,413.0,4,1070.0,600.0
60000.0,1900.0,7.0,333.0,4,850.0,0.0
550000.0,1930.0,5.0,280.0,4,2149.0,0.0
1049000.0,1937.0,7.0,285.0,4,1589.0,0.0
1100000.0,1775.0,5.0,540.0,4,15000.0,0.0
1750000.0,1850.0,7.0,721.0,5,11307.0,0.0
1845000.0,1975.0,6.0,303.0,4,18510.0,0.0
495000.0,1998.0,5.0,220.0,4,727.0,570.0
439000.0,1900.0,3.0,672.0,3,4312.0,0.0
549000.0,1920.0,3.0,1432.0,3,961.0,0.0
750000.0,1875.0,1.0,985.0,3,5958.0,0.0
410000.0,1981.0,5.0,843.0,4,1583.0,0.0
295000.0,1960.0,7.0,468.0,3,2335.0,2150.0
262000.0,1988.0,5.0,669.0,3,962.0,0.0
635000.0,1910.0,7.0,290.0,6,660.0,800.0
649000.0,1982.0,5.0,392.0,4,370.0,0.0
749000.0,1932.0,7.0,117.0,3,160.0,0.0
649000.0,1982.0,5.0,392.0,4,370.0,0.0
850000.0,1996.0,7.0,197.0,3,2550.0,2300.0
980000.0,1922.0,3.0,690.0,7,1396.0,0.0
2300000.0,1866.0,7.0,194.0,3,200.0,0.0
1300000.0,1870.0,7.0,188.0,6,275.0,80.0
550000.0,1870.0,7.0,188.0,6,275.0,80.0
339000.0,2020.0,7.0,125.0,3,0.0,24.0
495000.0,1930.0,7.0,158.0,3,207.0,0.0
449000.0,2000.0,7.0,330.0,5,954.0,228.0
995000.0,1806.0,5.0,181.0,4,14780.0,14000.0
695000.0,1938.0,5.0,240.0,8,5026.0,500.0
600000.0,1980.0,7.0,308.0,4,2227.0,1500.0
275000.0,1962.0,5.0,492.0,4,530.0,0.0
1125000.0,1991.0,7.0,215.0,6,1500.0,0.0
1095000.0,1992.0,7.0,237.0,5,3240.0,0.0
